51	docs/bot-integration.md;docs/sdk-app-guide.md;docs/sdk.md;docs/telegram-onboarding.md;packages/coding-agent/CHANGELOG.md;packages/coding-agent/src/commands/daemon.ts;packages/coding-agent/src/commands/sdk.ts;packages/coding-agent/src/coordinator-mcp/server.ts;packages/coding-agent/src/sdk/broker/broker.ts;packages/coding-agent/src/sdk/broker/lifecycle.ts;packages/coding-agent/src/sdk/broker/session-index.ts;packages/coding-agent/src/sdk/broker/transport.ts;packages/coding-agent/src/sdk/bus/index.ts;packages/coding-agent/src/sdk/bus/telegram-daemon-cli.ts;packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts;packages/coding-agent/src/sdk/bus/telegram-daemon.ts;packages/coding-agent/src/sdk/cli/session-cli.ts;packages/coding-agent/src/sdk/client/client.ts;packages/coding-agent/src/sdk/host/control/dispatch.ts;packages/coding-agent/src/sdk/host/control/operations.ts;packages/coding-agent/src/sdk/lifecycle/service.ts;packages/coding-agent/src/sdk/protocol/operation-inventory.generated.json;packages/coding-agent/src/sdk/protocol/operation-registry.ts;packages/coding-agent/src/sdk/router/session-router.ts;packages/coding-agent/src/session/internal/managed-session-storage.ts;packages/coding-agent/test/chat-daemon-session-reconnect.test.ts;packages/coding-agent/test/coordinator-mcp-server.test.ts;packages/coding-agent/test/manifests/sdk-adapter-parity-v1.json;packages/coding-agent/test/notifications-config.test.ts;packages/coding-agent/test/notifications-live-stream.test.ts;packages/coding-agent/test/notifications-telegram-daemon.test.ts;packages/coding-agent/test/notifications-tool-activity.test.ts;packages/coding-agent/test/notifications-topic-registry.test.ts;packages/coding-agent/test/sdk-adapter-dispositions.test.ts;packages/coding-agent/test/sdk-broker-lifecycle-e2e.test.ts;packages/coding-agent/test/sdk-client.test.ts;packages/coding-agent/test/sdk-control-dispatch.test.ts;packages/coding-agent/test/sdk-daemon-cli-e2e.test.ts;packages/coding-agent/test/sdk-host-wiring.test.ts;packages/coding-agent/test/sdk-lifecycle-service.test.ts;packages/coding-agent/test/sdk-operation-matrix.test.ts;packages/coding-agent/test/sdk-serve-transport.test.ts;packages/coding-agent/test/sdk-session-index.test.ts;packages/coding-agent/test/sdk-session-router-authority.test.ts;scripts/generate-gjc-sdk-skills.test.ts;scripts/generate-gjc-sdk-skills.ts;scripts/telegram-daemon-generation-guard.test.ts;scripts/telegram-daemon-generation-guard.ts;scripts/telegram-daemon-generation-manifest.json;scripts/verify-gjc-sdk-skills.ts;sdk-skills/gjc-sdk-author/templates/direct-sdk.ts	0d1d94d3fa6abe10743e5958560368bf03143ea0	fix(sdk): land the PR #4098 review-cohort fix generations 4-7 (#4281)
16	packages/coding-agent/CHANGELOG.md;packages/coding-agent/src/modes/acp/acp-agent.ts;packages/coding-agent/src/sdk/broker/broker.ts;packages/coding-agent/src/sdk/bus/index.ts;packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts;packages/coding-agent/src/sdk/host/host.ts;packages/coding-agent/src/sdk/host/session-runtime.ts;packages/coding-agent/test/acp-prompt-settle-on-completion.test.ts;packages/coding-agent/test/notifications-topic-registry.test.ts;packages/coding-agent/test/sdk-chat-daemon-worker.test.ts;packages/coding-agent/test/sdk-daemon-cli-e2e.test.ts;packages/coding-agent/test/sdk-host-wiring.test.ts;packages/coding-agent/test/session/session-context-overflow.test.ts;scripts/ci-dev-affected.test.ts;scripts/run-sdk-production-host-isolated.ts;scripts/telegram-daemon-generation-manifest.json	ef269a7ba51990f163a68795352fde4f170a0f89	fix(sdk): close post-merge review threads on the C04 terminal abort (#4282)
12	docs/sdk.md;packages/coding-agent/CHANGELOG.md;packages/coding-agent/src/coordinator-mcp/server.ts;packages/coding-agent/src/sdk/bus/index.ts;packages/coding-agent/src/sdk/host/control/dispatch.ts;packages/coding-agent/src/sdk/host/control/operations.ts;packages/coding-agent/src/sdk/host/session-runtime.ts;packages/coding-agent/src/sdk/protocol/operation-inventory.generated.json;packages/coding-agent/src/sdk/protocol/operation-registry.ts;packages/coding-agent/test/manifests/sdk-adapter-parity-v1.json;packages/coding-agent/test/sdk-adapter-dispositions.test.ts;packages/coding-agent/test/sdk-control-dispatch.test.ts	00ca7798bcc18e6d916fd46d6c127feaae58739f	fix(sdk): make terminal receipts and steering durable (#4080)
10	packages/coding-agent/CHANGELOG.md;packages/coding-agent/src/sdk/bus/index.ts;packages/coding-agent/src/sdk/bus/telegram-daemon-cli.ts;packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts;packages/coding-agent/test/notifications-config.test.ts;packages/coding-agent/test/notifications-live-stream.test.ts;packages/coding-agent/test/notifications-tool-activity.test.ts;packages/coding-agent/test/notifications-topic-registry.test.ts;packages/coding-agent/test/sdk-host-wiring.test.ts;scripts/telegram-daemon-generation-manifest.json	e02f6c5be93dd1efe00360eb7d47be8451c0d5a2	fix(sdk): detach chat-provider daemon ownership from session lifecycle (#4427)
10	packages/coding-agent/CHANGELOG.md;packages/coding-agent/src/sdk/broker/lifecycle.ts;packages/coding-agent/src/sdk/broker/session-index.ts;packages/coding-agent/src/sdk/bus/chat-daemon-control.ts;packages/coding-agent/src/sdk/bus/chat-daemon-runtime.ts;packages/coding-agent/src/sdk/router/session-router.ts;packages/coding-agent/test/helpers/sdk-exact-session-authority.ts;packages/coding-agent/test/sdk-chat-daemon-worker.test.ts;packages/coding-agent/test/sdk-session-index.test.ts;scripts/telegram-daemon-generation-manifest.json	3cf0aa531abd8a42809e027ca9a1e773c930ec73	fix(dev-ci): repair the 0.13.1-window regressions and the session-index lock storm (#4263) (#4272)
10	docs/sdk.md;docs/telegram-onboarding.md;packages/coding-agent/CHANGELOG.md;packages/coding-agent/src/sdk/bus/telegram-daemon-cli.ts;packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts;packages/coding-agent/src/sdk/bus/telegram-daemon.ts;packages/coding-agent/test/notifications-config.test.ts;packages/coding-agent/test/notifications-telegram-daemon.test.ts;packages/coding-agent/test/notifications-topic-registry.test.ts;scripts/telegram-daemon-generation-manifest.json	65631379e8a4ae69ae8bb249bbf6f851fe12db76	fix(telegram): reconcile orphaned session topics (#4268)
8	packages/coding-agent/CHANGELOG.md;packages/coding-agent/src/modes/acp/acp-agent.ts;packages/coding-agent/src/sdk/acp/adapter.ts;packages/coding-agent/test/acp-prompt-watchdog.test.ts;packages/coding-agent/test/acp/acp-fallback-cancel-completion.test.ts;packages/coding-agent/test/sdk-acp-adapter.test.ts;packages/coding-agent/test/sdk-acp-production-path.test.ts;packages/coding-agent/test/sdk-acp-prompt-terminal.test.ts	a17c8417d2e00d4a8918057cf037da8f484cabbb	fix(acp): restore turn as the default session/cancel abort scope (#4360)
7	packages/coding-agent/CHANGELOG.md;packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts;packages/coding-agent/src/sdk/bus/telegram-daemon.ts;packages/coding-agent/src/sdk/router/session-router.ts;packages/coding-agent/test/notifications-topic-registry.test.ts;packages/coding-agent/test/sdk-session-router-authority.test.ts;scripts/telegram-daemon-generation-manifest.json	16b3616ba80b2e741ecd77618d772276dd6096d6	refactor(notifications): isolate Telegram failure authority (#4401)
7	.github/workflows/dev-ci.yml;packages/coding-agent/CHANGELOG.md;packages/coding-agent/src/sdk/broker/session-index.ts;packages/coding-agent/test/sdk-session-index.test.ts;scripts/ci-dev-affected.test.ts;scripts/ci-dev-affected.ts;scripts/dev-ci-guard-topology.test.ts	00d4318ef65b031fe08f43c46c616b72b1d14710	fix(sdk): sync session-index snapshot through a writable handle (#4254)
6	packages/coding-agent/CHANGELOG.md;packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts;packages/coding-agent/src/sdk/bus/telegram-daemon.ts;packages/coding-agent/test/notifications-telegram-daemon.test.ts;packages/coding-agent/test/notifications-topic-registry.test.ts;scripts/telegram-daemon-generation-manifest.json	bc2492af38d8b159e632cbf2f658c183c880c206	fix(notifications): settle Telegram topic archives in private chats (#4327)
